Campaign Name,Campaign Objective,Campaign Special Ad Categories,Campaign Budget Optimization,Ad Set Name,Ad Set Daily Budget,Ad Set Start Time,Ad Set Optimization Goal,Ad Set Bid Strategy,Ad Set Billing Event,Ad Set Targeting Location Countries,Ad Set Targeting Interests,Ad Set Placements Publisher Platforms,Ad Set Placements Facebook Positions,Ad Set Placements Instagram Positions,Ad Name,Ad Creative Primary Text,Ad Creative Headline,Ad Creative Description,Ad Creative Call To Action Type,Ad Creative Link,Ad Creative Video File Name
QUANTUM Investor Leads - Pilot,Leads,Housing,Off,QUANTUM EN - US/CA/UK,10,2026-04-07T00:00:00+0000,Lead generation,Lowest cost,IMPRESSIONS,"[""US"",""CA"",""GB""]","[""Nefesh B'Nefesh"",""Birthright Israel"",""Times of Israel"",""Jewish National Fund"",""Israel Bonds"",""El Al Airlines"",""Real estate investing""]","[""facebook"",""instagram""]","[""feed"",""video_feeds"",""story"",""reels""]","[""stream"",""story"",""reels"",""explore""]",EN_A - Family + Hidden Properties,"Israeli real estate has been climbing for over a decade. Thanks to our profound connection to the urban renewal market, we know deals others don't know about. Not available to the public. Tell us what your family needs and we'll match you with the right opportunity.",Find Your Family's Home in Israel,Hidden properties. High returns.,LEARN_MORE,https://u-r-quantum.com/international-investors?source=meta_en_a&utm_source=meta&utm_medium=paid&utm_campaign=quantum_pilot&utm_content=EN_A_Family_Hidden_Properties&utm_term=QUANTUM_EN_US_CA_UK,QUANTUM_EN_A.mp4
QUANTUM Investor Leads - Pilot,Leads,Housing,Off,QUANTUM EN - US/CA/UK,10,2026-04-07T00:00:00+0000,Lead generation,Lowest cost,IMPRESSIONS,"[""US"",""CA"",""GB""]","[""Nefesh B'Nefesh"",""Birthright Israel"",""Times of Israel"",""Jewish National Fund"",""Israel Bonds"",""El Al Airlines"",""Real estate investing""]","[""facebook"",""instagram""]","[""feed"",""video_feeds"",""story"",""reels""]","[""stream"",""story"",""reels"",""explore""]",EN_B - Kids + Hidden Gems,"Your kids are serving in the IDF. Studying at university. Building their future in Israel. Your next investment can be their home. Thanks to our deep knowledge of the urban renewal market, we find hidden gems with returns other investors can only dream of. Tell us what you need.",A Home for Your Kids in Israel,Hidden gems. Dream returns.,LEARN_MORE,https://u-r-quantum.com/international-investors?source=meta_en_b&utm_source=meta&utm_medium=paid&utm_campaign=quantum_pilot&utm_content=EN_B_Kids_Hidden_Gems&utm_term=QUANTUM_EN_US_CA_UK,QUANTUM_EN_B.mp4
QUANTUM Investor Leads - Pilot,Leads,Housing,Off,QUANTUM EN - US/CA/UK,10,2026-04-07T00:00:00+0000,Lead generation,Lowest cost,IMPRESSIONS,"[""US"",""CA"",""GB""]","[""Nefesh B'Nefesh"",""Birthright Israel"",""Times of Israel"",""Jewish National Fund"",""Israel Bonds"",""El Al Airlines"",""Real estate investing""]","[""facebook"",""instagram""]","[""feed"",""video_feeds"",""story"",""reels""]","[""stream"",""story"",""reels"",""explore""]",EN_C - Urgency + Pre-Renewal,"The world has changed. More Jewish families than ever need a foothold in Israel. Thanks to our deep connection to the urban renewal ecosystem, we identify pre-renewal properties before prices jump. Returns of 30-80%. Real security for your family. Tell us what you need.",Your Place in Israel,Pre-renewal. Real security.,LEARN_MORE,https://u-r-quantum.com/international-investors?source=meta_en_c&utm_source=meta&utm_medium=paid&utm_campaign=quantum_pilot&utm_content=EN_C_Urgency_Pre_Renewal&utm_term=QUANTUM_EN_US_CA_UK,QUANTUM_EN_C.mp4
QUANTUM Investor Leads - Pilot,Leads,Housing,Off,QUANTUM FR - France/Belgium,10,2026-04-07T00:00:00+0000,Lead generation,Lowest cost,IMPRESSIONS,"[""FR"",""BE""]","[""Qualita"",""Agence Juive"",""Tribune Juive"",""Radio J"",""Israel"",""Aliyah"",""Investissement immobilier""]","[""facebook"",""instagram""]","[""feed"",""video_feeds"",""story"",""reels""]","[""stream"",""story"",""reels"",""explore""]",FR_A - Votre chez-vous,"L'immobilier israelien connait une croissance constante depuis plus de 10 ans. Grace a notre connexion profonde avec le marche du renouvellement urbain, nous connaissons des biens que le marche ne connait pas encore. Rendement de 30-80%. Dites-nous ce que votre famille recherche.",Votre chez-vous en Israel,Biens caches. Haut rendement.,LEARN_MORE,https://u-r-quantum.com/international-investors?source=meta_fr_a&utm_source=meta&utm_medium=paid&utm_campaign=quantum_pilot&utm_content=FR_A_Votre_chez_vous&utm_term=QUANTUM_FR_France_Belgium,QUANTUM_FR_A.mp4
QUANTUM Investor Leads - Pilot,Leads,Housing,Off,QUANTUM FR - France/Belgium,10,2026-04-07T00:00:00+0000,Lead generation,Lowest cost,IMPRESSIONS,"[""FR"",""BE""]","[""Qualita"",""Agence Juive"",""Tribune Juive"",""Radio J"",""Israel"",""Aliyah"",""Investissement immobilier""]","[""facebook"",""instagram""]","[""feed"",""video_feeds"",""story"",""reels""]","[""stream"",""story"",""reels"",""explore""]",FR_B - Enfants + joyaux,"Vos enfants servent dans Tsahal. Etudient en Israel. Construisent leur avenir. Votre prochain investissement peut etre leur chez-soi. Grace a notre connaissance intime du renouvellement urbain, nous trouvons des joyaux caches avec des rendements dont les autres ne font que rever.",Un foyer pour vos enfants en Israel,Joyaux caches. Rendements rares.,LEARN_MORE,https://u-r-quantum.com/international-investors?source=meta_fr_b&utm_source=meta&utm_medium=paid&utm_campaign=quantum_pilot&utm_content=FR_B_Enfants_joyaux&utm_term=QUANTUM_FR_France_Belgium,QUANTUM_FR_B.mp4
QUANTUM Investor Leads - Pilot,Leads,Housing,Off,QUANTUM FR - France/Belgium,10,2026-04-07T00:00:00+0000,Lead generation,Lowest cost,IMPRESSIONS,"[""FR"",""BE""]","[""Qualita"",""Agence Juive"",""Tribune Juive"",""Radio J"",""Israel"",""Aliyah"",""Investissement immobilier""]","[""facebook"",""instagram""]","[""feed"",""video_feeds"",""story"",""reels""]","[""stream"",""story"",""reels"",""explore""]",FR_C - Urgence,"Les prix dans les zones de renouvellement urbain augmentent a chaque avancee statutaire du projet. Celui qui entre aujourd'hui paie 20-40% de moins que celui qui entrera demain. Grace a notre connexion directe avec de nombreux complexes, nous savons exactement ou sont les meilleures opportunites.",Avant que les prix ne montent,Pre-renouvellement. Sans engagement.,LEARN_MORE,https://u-r-quantum.com/international-investors?source=meta_fr_c&utm_source=meta&utm_medium=paid&utm_campaign=quantum_pilot&utm_content=FR_C_Urgence&utm_term=QUANTUM_FR_France_Belgium,QUANTUM_FR_C.mp4
QUANTUM Investor Leads - Pilot,Leads,Housing,Off,QUANTUM ES - LATAM,10,2026-04-07T00:00:00+0000,Lead generation,Lowest cost,IMPRESSIONS,"[""AR"",""MX"",""PA""]","[""AMIA"",""DAIA"",""Israel"",""Taglit Birthright"",""Keren Hayesod""]","[""facebook"",""instagram""]","[""feed"",""video_feeds"",""story"",""reels""]","[""stream"",""story"",""reels"",""explore""]",ES_A - Tu hogar,"El mercado inmobiliario israeli crece de forma constante. Gracias a nuestra profunda conexion con el mercado de renovacion urbana, conocemos propiedades que el mercado aun no conoce. Retornos de 30-80%. Cuentanos que necesita tu familia.",Tu hogar en Israel,Propiedades ocultas. Alta rentabilidad.,LEARN_MORE,https://u-r-quantum.com/international-investors?source=meta_es_a&utm_source=meta&utm_medium=paid&utm_campaign=quantum_pilot&utm_content=ES_A_Tu_hogar&utm_term=QUANTUM_ES_LATAM,QUANTUM_ES_A.mp4
QUANTUM Investor Leads - Pilot,Leads,Housing,Off,QUANTUM ES - LATAM,10,2026-04-07T00:00:00+0000,Lead generation,Lowest cost,IMPRESSIONS,"[""AR"",""MX"",""PA""]","[""AMIA"",""DAIA"",""Israel"",""Taglit Birthright"",""Keren Hayesod""]","[""facebook"",""instagram""]","[""feed"",""video_feeds"",""story"",""reels""]","[""stream"",""story"",""reels"",""explore""]",ES_B - Hijos + joyas,"Tus hijos sirven en las FDI. Estudian. Construyen su futuro en Israel. Tu proxima inversion puede ser su hogar. Gracias a nuestro conocimiento profundo del mercado de renovacion, encontramos joyas ocultas con retornos que otros inversores solo pueden sonar.",Un hogar para tus hijos en Israel,Joyas ocultas. Retornos unicos.,LEARN_MORE,https://u-r-quantum.com/international-investors?source=meta_es_b&utm_source=meta&utm_medium=paid&utm_campaign=quantum_pilot&utm_content=ES_B_Hijos_joyas&utm_term=QUANTUM_ES_LATAM,QUANTUM_ES_B.mp4
QUANTUM Investor Leads - Pilot,Leads,Housing,Off,QUANTUM DE - Germany/Austria,10,2026-04-07T00:00:00+0000,Lead generation,Lowest cost,IMPRESSIONS,"[""DE"",""AT""]","[""Israel"",""Zentralrat der Juden"",""Judische Allgemeine"",""Keren Hayesod"",""El Al Airlines"",""Immobilieninvestment""]","[""facebook"",""instagram""]","[""feed"",""video_feeds"",""story"",""reels""]","[""stream"",""story"",""reels"",""explore""]",DE_A - Zuhause + Rendite,"Der israelische Immobilienmarkt wachst seit uber einem Jahrzehnt stetig. Dank unserer tiefen Verbindung zum Stadterneuerungsmarkt kennen wir Objekte, von denen der Markt noch nichts weiss. Renditen von 30-80%. Sagen Sie uns, was Ihre Familie braucht.",Ihr Zuhause in Israel,Verborgene Objekte. Hohe Rendite.,LEARN_MORE,https://u-r-quantum.com/international-investors?source=meta_de_a&utm_source=meta&utm_medium=paid&utm_campaign=quantum_pilot&utm_content=DE_A_Zuhause_Rendite&utm_term=QUANTUM_DE_Germany_Austria,QUANTUM_DE_A.mp4
QUANTUM Investor Leads - Pilot,Leads,Housing,Off,QUANTUM DE - Germany/Austria,10,2026-04-07T00:00:00+0000,Lead generation,Lowest cost,IMPRESSIONS,"[""DE"",""AT""]","[""Israel"",""Zentralrat der Juden"",""Judische Allgemeine"",""Keren Hayesod"",""El Al Airlines"",""Immobilieninvestment""]","[""facebook"",""instagram""]","[""feed"",""video_feeds"",""story"",""reels""]","[""stream"",""story"",""reels"",""explore""]",DE_B - Kinder + Juwelen,"Ihre Kinder dienen in der IDF. Studieren. Bauen ihre Zukunft in Israel. Ihre Investition kann ihr Zuhause sein. Dank unserer tiefen Kenntnis des Erneuerungsmarktes finden wir verborgene Juwelen mit Renditen, von denen andere Investoren nur traumen.",Ein Zuhause fur Ihre Kinder,Verborgene Juwelen. Traumrenditen.,LEARN_MORE,https://u-r-quantum.com/international-investors?source=meta_de_b&utm_source=meta&utm_medium=paid&utm_campaign=quantum_pilot&utm_content=DE_B_Kinder_Juwelen&utm_term=QUANTUM_DE_Germany_Austria,QUANTUM_DE_B.mp4
